State,Year,Month,Applications
Minnesota,2017,8,46613
Minnesota,2017,9,44552
Minnesota,2017,10,55012
Minnesota,2017,11,48087
Minnesota,2017,12,51143
Minnesota,2016,1,50842
Minnesota,2016,2,50144
Minnesota,2016,3,56311
Minnesota,2016,4,57100
Minnesota,2016,5,42135
Minnesota,2016,6,47916
Minnesota,2016,7,43368
Minnesota,2016,8,51700
Minnesota,2016,9,58507
Minnesota,2016,10,70854
Minnesota,2016,11,62666
Minnesota,2016,12,60056
Minnesota,2015,1,37824
Minnesota,2015,2,40699
Minnesota,2015,3,51987
Minnesota,2015,4,44682
Minnesota,2015,5,37779
Minnesota,2015,6,33553
Minnesota,2015,7,31732
Minnesota,2015,8,39036
Minnesota,2015,9,43688
Minnesota,2015,10,50060
Minnesota,2015,11,44023
Minnesota,2015,12,64181
Minnesota,2014,1,34528
Minnesota,2014,2,40503
Minnesota,2014,3,50582
Minnesota,2014,4,46067
Minnesota,2014,5,34462
Minnesota,2014,6,35400
Minnesota,2014,7,33483
Minnesota,2014,8,37674
Minnesota,2014,9,41988
Minnesota,2014,10,45025
Minnesota,2014,11,38258
Minnesota,2014,12,43152
Minnesota,2013,1,64272
Minnesota,2013,2,55260
Minnesota,2013,3,57031
Minnesota,2013,4,52210
Minnesota,2013,5,40424
Minnesota,2013,6,29559
Minnesota,2013,7,30700
Minnesota,2013,8,35738
Minnesota,2013,9,40431
Minnesota,2013,10,43178
Minnesota,2013,11,38292
Minnesota,2013,12,38679
Minnesota,2012,1,28780
Minnesota,2012,2,34904
Minnesota,2012,3,43516
Minnesota,2012,4,37216
Minnesota,2012,5,31819
Minnesota,2012,6,27343
Minnesota,2012,7,25668
Minnesota,2012,8,34927
Minnesota,2012,9,37424
Minnesota,2012,10,43310
Minnesota,2012,11,40168
Minnesota,2012,12,55917
Minnesota,2011,1,23965
Minnesota,2011,2,25707
Minnesota,2011,3,35730
Minnesota,2011,4,32612
Minnesota,2011,5,25879
Minnesota,2011,6,21508
Minnesota,2011,7,18160
Minnesota,2011,8,26543
Minnesota,2011,9,30635
Minnesota,2011,10,33383
Minnesota,2011,11,29226
Minnesota,2011,12,34186
Minnesota,2010,1,20181
Minnesota,2010,2,21210
Minnesota,2010,3,29495
Minnesota,2010,4,26351
Minnesota,2010,5,20172
Minnesota,2010,6,21173
Minnesota,2010,7,19268
Minnesota,2010,8,24702
Minnesota,2010,9,31519
Minnesota,2010,10,33303
Minnesota,2010,11,23577
Minnesota,2010,12,26439
Minnesota,2009,1,22768
Minnesota,2009,2,23895
Minnesota,2009,3,32695
Minnesota,2009,4,31130
Minnesota,2009,5,19636
Minnesota,2009,6,18162
Minnesota,2009,7,17426
Minnesota,2009,8,21487
Minnesota,2009,9,25748
Minnesota,2009,10,29398
Minnesota,2009,11,20902
Minnesota,2009,12,21883
Minnesota,2008,1,18727
Minnesota,2008,2,20738
Minnesota,2008,3,26018
Minnesota,2008,4,25126
Minnesota,2008,5,18927
Minnesota,2008,6,17390
Minnesota,2008,7,17164
Minnesota,2008,8,21906
Minnesota,2008,9,27447
Minnesota,2008,10,30503
Minnesota,2008,11,28567
Minnesota,2008,12,24662
Minnesota,2007,1,20147
Minnesota,2007,2,17475
Minnesota,2007,3,23521
Minnesota,2007,4,20894
Minnesota,2007,5,16077
Minnesota,2007,6,15117
Minnesota,2007,7,15254
Minnesota,2007,8,22098
Minnesota,2007,9,27033
Minnesota,2007,10,29453
Minnesota,2007,11,19561
Minnesota,2007,12,21456
Minnesota,2006,1,17117
Minnesota,2006,2,19535
Minnesota,2006,3,23372
Minnesota,2006,4,19793
Minnesota,2006,5,15366
Minnesota,2006,6,14368
Minnesota,2006,7,15253
Minnesota,2006,8,21345
Minnesota,2006,9,28160
Minnesota,2006,10,27809
Minnesota,2006,11,19741
Minnesota,2006,12,22853
Minnesota,2005,1,13002
Minnesota,2005,2,15838
Minnesota,2005,3,20694
Minnesota,2005,4,17565
Minnesota,2005,5,13083
Minnesota,2005,6,14731
Minnesota,2005,7,14509
Minnesota,2005,8,19775
Minnesota,2005,9,25004
Minnesota,2005,10,28407
Minnesota,2005,11,19891
Minnesota,2005,12,21666
Minnesota,2004,1,15236
Minnesota,2004,2,16547
Minnesota,2004,3,22108
Minnesota,2004,4,18774
Minnesota,2004,5,14638
Minnesota,2004,6,14621
Minnesota,2004,7,13973
Minnesota,2004,8,18607
Minnesota,2004,9,26037
Minnesota,2004,10,28415
Minnesota,2004,11,18628
Minnesota,2004,12,20262
Minnesota,2003,1,12952
Minnesota,2003,2,14891
Minnesota,2003,3,19557
Minnesota,2003,4,16978
Minnesota,2003,5,15674
Minnesota,2003,6,16844
Minnesota,2003,7,15858
Minnesota,2003,8,20094
Minnesota,2003,9,27540
Minnesota,2003,10,29185
Minnesota,2003,11,19386
Minnesota,2003,12,20769
Minnesota,2002,1,12887
Minnesota,2002,2,13211
Minnesota,2002,3,17144
Minnesota,2002,4,17114
Minnesota,2002,5,11362
Minnesota,2002,6,9824
Minnesota,2002,7,10721
Minnesota,2002,8,17376
Minnesota,2002,9,23195
Minnesota,2002,10,24486
Minnesota,2002,11,17579
Minnesota,2002,12,17493
Minnesota,2001,1,11063
Minnesota,2001,2,11855
Minnesota,2001,3,17194
Minnesota,2001,4,14891
Minnesota,2001,5,10389
Minnesota,2001,6,9756
Minnesota,2001,7,10649
Minnesota,2001,8,17366
Minnesota,2001,9,26158
Minnesota,2001,10,29004
Minnesota,2001,11,15991
Minnesota,2001,12,17619
Minnesota,2000,1,10104
Minnesota,2000,2,12752
Minnesota,2000,3,17218
Minnesota,2000,4,14781
Minnesota,2000,5,10317
Minnesota,2000,6,10808
Minnesota,2000,7,10839
Minnesota,2000,8,17129
Minnesota,2000,9,25944
Minnesota,2000,10,25793
Minnesota,2000,11,15027
Minnesota,2000,12,14388
Minnesota,1999,1,6724
Minnesota,1999,2,9473
Minnesota,1999,3,13747
Minnesota,1999,4,12274
Minnesota,1999,5,9467
Minnesota,1999,6,9734
Minnesota,1999,7,10093
Minnesota,1999,8,18249
Minnesota,1999,9,25704
Minnesota,1999,10,26815
Minnesota,1999,11,17026
Minnesota,1999,12,18623
